specifications;price;address;date;parsing_dt;m2;rooms;floor;from_floors;price_m2;streets
1-к квартира, 49 м², 1/3 эт.;2641000;Рязань, Советский район, район Солотча;4 дня назад;2020-11-30 09:55:34.330510;49.0;1; 1;3 эт.;53897;Поселок Солотча
1-к квартира, 37 м², 8/19 эт.;1800000;Михайловское ш., стр. 1;3 часа назад;2020-11-30 09:55:34.330510;37.0;1; 8;19 эт.;48648;Михайловское шоссе
2-к квартира, 47.8 м², 2/3 эт.;2629000;Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:34.330510;47.8;2; 2;3 эт.;55000;Поселок Солотча
1-к квартира, 49.6 м², 3/3 эт.;2326000;Россия, Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:34.330510;49.6;1; 3;3 эт.;46895;Поселок Солотча
2-к квартира, 59.3 м², 22/28 эт.;4150000;Солотчинское ш., стр. 3;3 дня назад;2020-11-30 09:55:34.330510;59.3;2; 22;28 эт.;69983;Солотчинское шоссе
3-к квартира, 87 м², 11/26 эт.;4173000;ул. Быстрецкая, д. 22;21 минуту назад;2020-11-30 09:55:34.330510;87.0;3; 11;26 эт.;47965;Быстрецкая улица
2-к квартира, 57.8 м², 6/20 эт.;3109000;ул. Быстрецкая, стр. 3;1 час назад;2020-11-30 09:55:34.330510;57.8;2; 6;20 эт.;53788;Быстрецкая улица
1-к квартира, 43.6 м², 7/25 эт.;2326000;Россия, Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:34.330510;43.6;1; 7;25 эт.;53348;Поселок Солотча
2-к квартира, 65 м², 3/16 эт.;2629000;Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:34.330510;65.0;2; 3;16 эт.;40446;Поселок Солотча
1-к квартира, 37.5 м², 4/19 эт.;2641000;Рязань, Советский район, район Солотча;4 дня назад;2020-11-30 09:55:34.330510;37.5;1; 4;19 эт.;70426;Поселок Солотча
1-к квартира, 40.6 м², 10/18 эт.;2002000;ул. Зубковой, д. 8В, корп. 1;1 час назад;2020-11-30 09:55:34.330510;40.6;1; 10;18 эт.;49310;Улица Зубковой
2-к квартира, 70 м², 11/18 эт.;3384050;ул. Княжье Поле, стр. 8;1 час назад;2020-11-30 09:55:34.330510;70.0;2; 11;18 эт.;48343;Улица Княжье Поле
2-к квартира, 68.5 м², 9/18 эт.;2400000;ул. Бирюзова, д. 7Б;31 минуту назад;2020-11-30 09:55:34.330510;68.5;2; 9;18 эт.;35036;Улица Бирюзова
2-к квартира, 55 м², 12/18 эт.;2626750;с. Дядьково, блок-секция 4А;6 дней назад;2020-11-30 09:55:34.330510;55.0;2; 12;18 эт.;47759;село Дядьково
2-к квартира, 50.6 м², 9/25 эт.;5200000;ул. Чапаева, д. 61;4 дня назад;2020-11-30 09:55:34.330510;50.6;2; 9;25 эт.;102766;Улица Чапаева
3-к квартира, 109.5 м², 8/9 эт.;4150000;Солотчинское ш., стр. 3;3 дня назад;2020-11-30 09:55:34.330510;109.5;3; 8;9 эт.;37899;Солотчинское шоссе
1-к квартира, 49.6 м², 10/25 эт.;1949021;с. Дядьково, квартал Бульвар Оптимистов;41 минуту назад;2020-11-30 09:55:34.330510;49.6;1; 10;25 эт.;39294;село Дядьково
1-к квартира, 34 м², 4/26 эт.;3430000;с. Дядьково, квартал Бульвар Оптимистов;2 часа назад;2020-11-30 09:55:34.330510;34.0;1; 4;26 эт.;100882;село Дядьково
2-к квартира, 49 м², 9/11 эт.;3357870;с. Дядьково, квартал Бульвар Оптимистов;29 минут назад;2020-11-30 09:55:34.330510;49.0;2; 9;11 эт.;68527;село Дядьково
3-к квартира, 78 м², 14/20 эт.;2474000;с. Дядьково, блок-секция 3А;2 часа назад;2020-11-30 09:55:34.330510;78.0;3; 14;20 эт.;31717;село Дядьково
3-к квартира, 85.9 м², 4/10 эт.;2800000;ул. Быстрецкая, стр. 1;5 дней назад;2020-11-30 09:55:34.330510;85.9;3; 4;10 эт.;32596;Быстрецкая улица
2-к квартира, 56.8 м², 6/10 эт.;8975720;ул. Пролетарская/Чапаева/Полевая, жилой дом;3 дня назад;2020-11-30 09:55:34.330510;56.8;2; 6;10 эт.;158023;Улица Чапаева
1-к квартира, 43.3 м², 5/26 эт.;2707500;Касимовское ш., жилой дом;42 минуты назад;2020-11-30 09:55:34.330510;43.3;1; 5;26 эт.;62528;Касимовское шоссе
2-к квартира, 66 м², 14/26 эт.;2040000;ул. Кальная, д. 79;2 часа назад;2020-11-30 09:55:34.330510;66.0;2; 14;26 эт.;30909;Кальная улица
3-к квартира, 112 м², 7/12 эт.;3550000;Московское ш., 1 оч.;3 дня назад;2020-11-30 09:55:34.330510;112.0;3; 7;12 эт.;31696;Московское шоссе
1-к квартира, 42 м², 7/16 эт.;3700000;ул. Олимпийский городок, д. 4;2 часа назад;2020-11-30 09:55:34.330510;42.0;1; 7;16 эт.;88095;микрорайон Олимпийский городок
1-к квартира, 47.6 м², 4/5 эт.;3908450;Михайловское ш., 234к1;3 часа назад;2020-11-30 09:55:34.330510;47.6;1; 4;5 эт.;82110;Михайловское шоссе
1-к квартира, 37.3 м², 5/11 эт.;3050160;Большая ул., 106к1;3 часа назад;2020-11-30 09:55:34.330510;37.3;1; 5;11 эт.;81773;Большая улица
2-к квартира, 61.9 м², 12/12 эт.;2350000;ул. Гоголя, д. 55;3 часа назад;2020-11-30 09:55:34.330510;61.9;2; 12;12 эт.;37964;Улица Гоголя
1-к квартира, 76.3 м², 3/9 эт.;3558242;Касимовское ш., жилой дом;1 час назад;2020-11-30 09:55:34.330510;76.3;1; 3;9 эт.;46634;Касимовское шоссе
2-к квартира, 62.1 м², 2/10 эт.;6349000;ул. Полетаева, д. 25, корп. 2;1 час назад;2020-11-30 09:55:34.330510;62.1;2; 2;10 эт.;102238;Улица Полетаева
2-к квартира, 78.6 м², 19/25 эт.;2050000;ул. Олимпийский городок, д. 4;2 часа назад;2020-11-30 09:55:34.330510;78.6;2; 19;25 эт.;26081;микрорайон Олимпийский городок
2-к квартира, 59 м², 8/20 эт.;1751600;д. Турлатово, Новая ул., 16;1 час назад;2020-11-30 09:55:34.330510;59.0;2; 8;20 эт.;29688;деревня Турлатово
1-к квартира, 47.5 м², 2/25 эт.;2500000;ул. Совхозная, стр. 1;4 дня назад;2020-11-30 09:55:34.330510;47.5;1; 2;25 эт.;52631;Совхозная улица
Квартира-студия, 25 м², 15/25 эт.;5262350;ул. Маяковского, ЖК «Наследие современности»;3 дня назад;2020-11-30 09:55:34.330510;25.0;1; 15;25 эт.;210494;Улица Маяковского
1-к квартира, 38.8 м², 7/11 эт.;5952960;ул. Пролетарская/Чапаева/Полевая, жилой дом;3 дня назад;2020-11-30 09:55:34.330510;38.8;1; 7;11 эт.;153426;Улица Чапаева
2-к квартира, 60.6 м², 16/26 эт.;4344900;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 1А, 1Б, 1В;4 дня назад;2020-11-30 09:55:34.330510;60.6;2; 16;26 эт.;71698;Касимовское шоссе
1-к квартира, 38.6 м², 18/24 эт.;4700000;ул. Полевая, д. 73, секц. 2;12 часов назад;2020-11-30 09:55:34.330510;38.6;1; 18;24 эт.;121761;Полевая улица
2-к квартира, 86.2 м², 2/9 эт.;2800000;ул. Олимпийский городок, д. 4;12 часов назад;2020-11-30 09:55:34.330510;86.2;2; 2;9 эт.;32482;микрорайон Олимпийский городок
1-к квартира, 30.7 м², 19/22 эт.;2700000;ул. Полевая, д. 73, секц. 2;13 часов назад;2020-11-30 09:55:34.330510;30.7;1; 19;22 эт.;87947;Полевая улица
2-к квартира, 56 м², 17/30 эт.;1900000;ул. Олимпийский городок, д. 4;13 часов назад;2020-11-30 09:55:34.330510;56.0;2; 17;30 эт.;33928;микрорайон Олимпийский городок
1-к квартира, 46 м², 2/10 эт.;2829480;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 2А, 2Б;3 дня назад;2020-11-30 09:55:34.330510;46.0;1; 2;10 эт.;61510;Касимовское шоссе
2-к квартира, 43.3 м², 2/27 эт.;2786000;ул. Бугровка, жилой дом;18 часов назад;2020-11-30 09:55:34.330510;43.3;2; 2;27 эт.;64341;Улица Бугровка
1-к квартира, 43 м², 23/26 эт.;2273000;ул. Чернышевского, д. 3;13 часов назад;2020-11-30 09:55:34.330510;43.0;1; 23;26 эт.;52860;Улица Чернышевского
2-к квартира, 88.7 м², 6/12 эт.;6207120;ул. Пролетарская/Чапаева/Полевая, жилой дом;3 дня назад;2020-11-30 09:55:34.330510;88.7;2; 6;12 эт.;69978;Улица Чапаева
2-к квартира, 58.7 м², 13/25 эт.;1880000;Московское ш., 1 оч.;17 часов назад;2020-11-30 09:55:34.330510;58.7;2; 13;25 эт.;32027;Московское шоссе
1-к квартира, 36 м², 15/28 эт.;3700000;Солотчинское ш., стр. 3;18 часов назад;2020-11-30 09:55:34.330510;36.0;1; 15;28 эт.;102777;Солотчинское шоссе
2-к квартира, 69.3 м², 9/14 эт.;3310560;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 1А, 1Б, 1В;4 дня назад;2020-11-30 09:55:34.330510;69.3;2; 9;14 эт.;47771;Касимовское шоссе
2-к квартира, 60.5 м², 13/25 эт.;2341219;ул. Быстрецкая, д. 22;17 часов назад;2020-11-30 09:55:34.330510;60.5;2; 13;25 эт.;38697;Быстрецкая улица
2-к квартира, 66.7 м², 6/19 эт.;2258641;ул. Маяковского, ЖК «Наследие современности»;17 часов назад;2020-11-30 09:55:34.330510;66.7;2; 6;19 эт.;33862;Улица Маяковского
2-к квартира, 61 м², 21/25 эт.;2680000;ул. Зубковой, д. 8В, корп. 1;1 день назад;2020-11-30 09:55:41.143042;61.0;2; 21;25 эт.;43934;Улица Зубковой
1-к квартира, 44 м², 7/27 эт.;1960000;ул. Зубковой, д. 8В, корп. 1;1 день назад;2020-11-30 09:55:41.143042;44.0;1; 7;27 эт.;44545;Улица Зубковой
2-к квартира, 56 м², 17/25 эт.;2470000;ул. Зубковой, д. 27,  корп. 5;1 день назад;2020-11-30 09:55:41.143042;56.0;2; 17;25 эт.;44107;Улица Зубковой
2-к квартира, 65 м², 8/10 эт.;5100000;Быстрецкая ул., 20к2;1 день назад;2020-11-30 09:55:41.143042;65.0;2; 8;10 эт.;78461;Быстрецкая улица
1-к квартира, 34.4 м², 17/27 эт.;2700000;Солотчинское ш., д. 4;1 день назад;2020-11-30 09:55:41.143042;34.4;1; 17;27 эт.;78488;Солотчинское шоссе
1-к квартира, 41.3 м², 24/24 эт.;2492400;ул. Гоголя, д. 55;21 час назад;2020-11-30 09:55:41.143042;41.3;1; 24;24 эт.;60348;Улица Гоголя
3-к квартира, 88 м², 17/26 эт.;3999000;Московское ш., 1 оч.;1 день назад;2020-11-30 09:55:41.143042;88.0;3; 17;26 эт.;45443;Московское шоссе
3-к квартира, 97.4 м², 10/22 эт.;3550000;ул. Шереметьевская, д. 13;3 дня назад;2020-11-30 09:55:41.143042;97.4;3; 10;22 эт.;36447;Шереметьевская улица
1-к квартира, 41 м², 12/20 эт.;4034700;с. Дядьково, 2-й Бульварный пр-д, д. 3;3 дня назад;2020-11-30 09:55:41.143042;41.0;1; 12;20 эт.;98407;село Дядьково
1-к квартира, 36 м², 17/25 эт.;2190200;ул. Чапаева, д. 61;6 дней назад;2020-11-30 09:55:41.143042;36.0;1; 17;25 эт.;60838;Улица Чапаева
2-к квартира, 61.8 м², 17/19 эт.;5200000;ул. Быстрецкая, стр. 3;4 дня назад;2020-11-30 09:55:41.143042;61.8;2; 17;19 эт.;84142;Быстрецкая улица
1-к квартира, 46.2 м², 1/18 эт.;2231232;ул. Зубковой, д. 27,  корп. 5;1 день назад;2020-11-30 09:55:41.143042;46.2;1; 1;18 эт.;48295;Улица Зубковой
1-к квартира, 35 м², 9/18 эт.;1577000;Россия, Рязань, Советский район, район Солотча;1 день назад;2020-11-30 09:55:41.143042;35.0;1; 9;18 эт.;45057;Поселок Солотча
2-к квартира, 60 м², 6/25 эт.;2326000;Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:41.143042;60.0;2; 6;25 эт.;38766;Поселок Солотча
2-к квартира, 53.6 м², 5/5 эт.;2629000;Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:55:41.143042;53.6;2; 5;5 эт.;49048;Поселок Солотча
1-к квартира, 51 м², 8/10 эт.;2641000;Михайловское ш., стр. 1;4 дня назад;2020-11-30 09:55:41.143042;51.0;1; 8;10 эт.;51784;Михайловское шоссе
2-к квартира, 60 м², 2/16 эт.;2966400;с. Дядьково, 2-й Бульварный пр-д, д. 3;18 часов назад;2020-11-30 09:55:41.143042;60.0;2; 2;16 эт.;49440;село Дядьково
1-к квартира, 39.6 м², 5/25 эт.;2190200;с. Дядьково, 2-й Бульварный пр-д, д. 2;6 дней назад;2020-11-30 09:55:41.143042;39.6;1; 5;25 эт.;55308;село Дядьково
2-к квартира, 69 м², 16/25 эт.;1623000;ш. Московское, стр. 3;2 дня назад;2020-11-30 09:55:41.143042;69.0;2; 16;25 эт.;23521;Московское шоссе
3-к квартира, 86.5 м², 1/10 эт.;3274563;д. Турлатово, Новая ул., 16;1 день назад;2020-11-30 09:55:41.143042;86.5;3; 1;10 эт.;37856;деревня Турлатово
1-к квартира, 46 м², 9/18 эт.;1917200;пр-д Окский, стр. 1;3 дня назад;2020-11-30 09:55:41.143042;46.0;1; 9;18 эт.;41678;Окский проезд
1-к квартира, 27 м², 7/26 эт.;2420000;ул. Мервинская, д. 6;1 день назад;2020-11-30 09:55:41.143042;27.0;1; 7;26 эт.;89629;Мервинская улица
3-к квартира, 89 м², 10/27 эт.;3385000;мкр. Олимпийский городок, д. 2;1 день назад;2020-11-30 09:55:41.143042;89.0;3; 10;27 эт.;38033;микрорайон Олимпийский городок
2-к квартира, 48 м², 7/18 эт.;2620000;район Кальное, жилой комплекс Еврокласс;2 дня назад;2020-11-30 09:55:41.143042;48.0;2; 7;18 эт.;54583;Unknown
1-к квартира, 43.6 м², 13/21 эт.;3300000;ул. Большая, д. 106, корп. 1;1 день назад;2020-11-30 09:55:41.143042;43.6;1; 13;21 эт.;75688;Большая улица
2-к квартира, 65 м², 10/27 эт.;4714250;с. Дядьково, 2-й Бульварный пр., 3;5 дней назад;2020-11-30 09:55:41.143042;65.0;2; 10;27 эт.;72526;село Дядьково
2-к квартира, 53 м², 3/23 эт.;2270000;ул. Зубковой, стр. 4;2 дня назад;2020-11-30 09:55:41.143042;53.0;2; 3;23 эт.;42830;Улица Зубковой
2-к квартира, 68.7 м², 6/10 эт.;1598000;ул. Зубковой, д. 8В, корп. 1;1 день назад;2020-11-30 09:55:41.143042;68.7;2; 6;10 эт.;23260;Улица Зубковой
1-к квартира, 32 м², 6/22 эт.;3600000;с. Дядьково, блок-секция 3А;1 день назад;2020-11-30 09:55:41.143042;32.0;1; 6;22 эт.;112500;село Дядьково
1-к квартира, 35 м², 17/25 эт.;2270000;ул. Старое Село, д. 2;2 дня назад;2020-11-30 09:55:41.143042;35.0;1; 17;25 эт.;64857;Улица Старое Село
2-к квартира, 65 м², 16/22 эт.;2800000;жилой комплекс Маргелов;2 дня назад;2020-11-30 09:55:41.143042;65.0;2; 16;22 эт.;43076;Unknown
2-к квартира, 75.6 м², 4/10 эт.;3400000;ул. Интернациональная, д. 19А;1 день назад;2020-11-30 09:55:41.143042;75.6;2; 4;10 эт.;44973;Интернациональная улица
1-к квартира, 46 м², 17/25 эт.;2760000;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 2А, 2Б;1 день назад;2020-11-30 09:55:41.143042;46.0;1; 17;25 эт.;60000;Касимовское шоссе
1-к квартира, 37.5 м², 9/23 эт.;4670240;Московское ш., 2 оч.;6 дней назад;2020-11-30 09:55:41.143042;37.5;1; 9;23 эт.;124539;Московское шоссе
2-к квартира, 57 м², 4/10 эт.;2380000;ул. Зубковой, д. 27,  корп. 5;1 день назад;2020-11-30 09:55:41.143042;57.0;2; 4;10 эт.;41754;Улица Зубковой
1-к квартира, 39.7 м², 15/15 эт.;1600000;ул. Чапаева, д. 61;1 день назад;2020-11-30 09:55:41.143042;39.7;1; 15;15 эт.;40302;Улица Чапаева
3-к квартира, 80.3 м², 15/25 эт.;4500000;ш. Московское, стр. 1;2 дня назад;2020-11-30 09:55:41.143042;80.3;3; 15;25 эт.;56039;Московское шоссе
2-к квартира, 64.4 м², 5/27 эт.;3780000;ул. Интернациональная, д. 19А;1 день назад;2020-11-30 09:55:41.143042;64.4;2; 5;27 эт.;58695;Интернациональная улица
2-к квартира, 68 м², 7/10 эт.;2649700;ул. Островского, д. 122, блок-секция 1А, 1Б, 1В;3 дня назад;2020-11-30 09:55:41.143042;68.0;2; 7;10 эт.;38966;Поселок Остров
3-к квартира, 91 м², 8/10 эт.;1845000;ул. Княжье Поле, 6;1 день назад;2020-11-30 09:55:41.143042;91.0;3; 8;10 эт.;20274;Улица Княжье Поле
1-к квартира, 43.9 м², 1/18 эт.;3650000;ул. Зубковой, д. 8В, корп. 1;1 день назад;2020-11-30 09:55:41.143042;43.9;1; 1;18 эт.;83143;Улица Зубковой
3-к квартира, 77 м², 7/17 эт.;1935000;пр-д Окский, стр. 1;2 дня назад;2020-11-30 09:55:41.143042;77.0;3; 7;17 эт.;25129;Окский проезд
3-к квартира, 95.7 м², 3/27 эт.;4200000;с. Дядьково, блок-секция 3А;3 дня назад;2020-11-30 09:55:41.143042;95.7;3; 3;27 эт.;43887;село Дядьково
2-к квартира, 65 м², 5/10 эт.;2961800;с. Дядьково, пр-д 1-й Бульварный, д. 2;2 дня назад;2020-11-30 09:55:41.143042;65.0;2; 5;10 эт.;45566;село Дядьково
1-к квартира, 43.6 м², 22/25 эт.;3470000;ул. Кальная, д. 79;1 день назад;2020-11-30 09:55:41.143042;43.6;1; 22;25 эт.;79587;Кальная улица
2-к квартира, 55.7 м², 13/22 эт.;4400000;пр-д Окский, стр. 2;2 дня назад;2020-11-30 09:55:41.143042;55.7;2; 13;22 эт.;78994;Окский проезд
1-к квартира, 48.9 м², 23/25 эт.;2041350;ул. Быстрецкая, стр. 2;6 дней назад;2020-11-30 09:55:41.143042;48.9;1; 23;25 эт.;41745;Быстрецкая улица
1-к квартира, 46.9 м², 5/10 эт.;4250000;Московское ш., 1 оч.;1 день назад;2020-11-30 09:55:41.143042;46.9;1; 5;10 эт.;90618;Московское шоссе
1-к квартира, 46.8 м², 21/27 эт.;4200000;ул. Новоселов, д. 45а;2 дня назад;2020-11-30 09:55:41.143042;46.8;1; 21;27 эт.;89743;Улица Новоселов
2-к квартира, 82.7 м², 7/15 эт.;3480000;ул. Зубковой, д. 8В, корп. 1;2 дня назад;2020-11-30 09:55:41.143042;82.7;2; 7;15 эт.;42079;Улица Зубковой
1-к квартира, 41.3 м², 7/12 эт.;2280000;пр-д Окский, стр. 2;2 дня назад;2020-11-30 09:55:43.902655;41.3;1; 7;12 эт.;55205;Окский проезд
1-к квартира, 42 м², 12/16 эт.;2150000;ул. Олимпийский городок, д. 4;2 дня назад;2020-11-30 09:55:43.902655;42.0;1; 12;16 эт.;51190;микрорайон Олимпийский городок
1-к квартира, 40.1 м², 8/17 эт.;2222775;с. Дядьково, ул. Большая, д. 6;4 дня назад;2020-11-30 09:55:43.902655;40.1;1; 8;17 эт.;55430;село Дядьково
1-к квартира, 41.6 м², 3/10 эт.;2059200;Михайловское ш., 234к1;6 дней назад;2020-11-30 09:55:43.902655;41.6;1; 3;10 эт.;49500;Михайловское шоссе
2-к квартира, 42.6 м², 1/26 эт.;2301281;Касимовское ш., жилой дом;2 дня назад;2020-11-30 09:55:43.902655;42.6;2; 1;26 эт.;54020;Касимовское шоссе
2-к квартира, 72.6 м², 11/17 эт.;3555440;с. Дядьково, ул. Большая, д. 6;3 дня назад;2020-11-30 09:55:43.902655;72.6;2; 11;17 эт.;48973;село Дядьково
1-к квартира, 40.7 м², 1/22 эт.;2650000;Московское ш., стр. 2;2 дня назад;2020-11-30 09:55:43.902655;40.7;1; 1;22 эт.;65110;Московское шоссе
1-к квартира, 29.2 м², 12/25 эт.;2626750;с. Дядьково, блок-секция 4А;6 дней назад;2020-11-30 09:55:43.902655;29.2;1; 12;25 эт.;89957;село Дядьково
1-к квартира, 40.3 м², 11/18 эт.;5200000;ул. Чапаева, д. 61;4 дня назад;2020-11-30 09:55:43.902655;40.3;1; 11;18 эт.;129032;Улица Чапаева
1-к квартира, 50 м², 14/15 эт.;4150000;Солотчинское ш., стр. 3;3 дня назад;2020-11-30 09:55:43.902655;50.0;1; 14;15 эт.;83000;Солотчинское шоссе
3-к квартира, 85.9 м², 7/17 эт.;1480000;ул. Княжье Поле, д. 23, корп. 1;2 дня назад;2020-11-30 09:55:43.902655;85.9;3; 7;17 эт.;17229;Улица Княжье Поле
2-к квартира, 50.6 м², 5/25 эт.;2095950;с. Дядьково, пр-д 2-й Бульварный, д. 2;2 дня назад;2020-11-30 09:55:43.902655;50.6;2; 5;25 эт.;41421;село Дядьково
1-к квартира, 35 м², 2/24 эт.;4251700;ул. Маяковского, ЖК «Наследие современности»;5 дней назад;2020-11-30 09:55:43.902655;35.0;1; 2;24 эт.;121477;Улица Маяковского
1-к квартира, 44.4 м², 3/21 эт.;3550000;Московское ш., 1 оч.;3 дня назад;2020-11-30 09:55:43.902655;44.4;1; 3;21 эт.;79954;Московское шоссе
3-к квартира, 76.9 м², 9/25 эт.;4034700;ул. Шереметьевская, д. 13;3 дня назад;2020-11-30 09:55:43.902655;76.9;3; 9;25 эт.;52466;Шереметьевская улица
1-к квартира, 40.5 м², 13/17 эт.;2190200;с. Дядьково, 2-й Бульварный пр-д, д. 3;6 дней назад;2020-11-30 09:55:43.902655;40.5;1; 13;17 эт.;54079;село Дядьково
1-к квартира, 30.4 м², 10/25 эт.;3909360;с. Дядьково, ул. Большая, д. 6;3 дня назад;2020-11-30 09:55:43.902655;30.4;1; 10;25 эт.;128597;село Дядьково
1-к квартира, 41.6 м², 5/7 эт.;2980000;ул. Быстрецкая, стр. 1;2 дня назад;2020-11-30 09:55:43.902655;41.6;1; 5;7 эт.;71634;Быстрецкая улица
2-к квартира, 49.5 м², 9/17 эт.;2215210;ул. Старое Село, д. 2;2 дня назад;2020-11-30 09:55:43.902655;49.5;2; 9;17 эт.;44751;Улица Старое Село
2-к квартира, 62.2 м², 7/13 эт.;2600000;ул. Быстрецкая, стр. 1;5 дней назад;2020-11-30 09:55:43.902655;62.2;2; 7;13 эт.;41800;Быстрецкая улица
3-к квартира, 72 м², 17/25 эт.;4400000;с. Дядьково, ул. Большая, д. 6;3 дня назад;2020-11-30 09:55:43.902655;72.0;3; 17;25 эт.;61111;село Дядьково
1-к квартира, 43 м², 9/26 эт.;2023500;Московское ш., 2 оч.;3 дня назад;2020-11-30 09:55:43.902655;43.0;1; 9;26 эт.;47058;Московское шоссе
2-к квартира, 58.5 м², 9/10 эт.;1900000;с. Дядьково, ул. Малиновая, д. 1;2 дня назад;2020-11-30 09:55:43.902655;58.5;2; 9;10 эт.;32478;село Дядьково
2-к квартира, 59.2 м², 16/20 эт.;1850000;с. Дядьково, ул. Большая, д. 6;2 дня назад;2020-11-30 09:55:43.902655;59.2;2; 16;20 эт.;31250;село Дядьково
1-к квартира, 46.6 м², 16/17 эт.;2575040;ул. Зубковой, д. 27,  корп. 5;3 дня назад;2020-11-30 09:55:43.902655;46.6;1; 16;17 эт.;55258;Улица Зубковой
2-к квартира, 64.5 м², 8/28 эт.;4500000;ул. Быстрецкая, стр. 3;3 дня назад;2020-11-30 09:55:43.902655;64.5;2; 8;28 эт.;69767;Быстрецкая улица
3-к квартира, 91 м², 12/15 эт.;3222000;ул. Семчинская, д. 3, корп. 2;3 дня назад;2020-11-30 09:55:43.902655;91.0;3; 12;15 эт.;35406;Семчинская улица
1-к квартира, 46.6 м², 6/10 эт.;2124319;с. Дядьково, ул. Большая, д. 6;2 дня назад;2020-11-30 09:55:43.902655;46.6;1; 6;10 эт.;45586;село Дядьково
1-к квартира, 36 м², 22/30 эт.;2890000;ул. Кальная, д. 79;5 дней назад;2020-11-30 09:55:43.902655;36.0;1; 22;30 эт.;80277;Кальная улица
2-к квартира, 78.8 м², 2/27 эт.;3030000;7 мкр., д. 6;3 дня назад;2020-11-30 09:55:43.902655;78.8;2; 2;27 эт.;38451;7-й микрорайон
2-к квартира, 68.7 м², 5/10 эт.;2353300;Большая ул., 106к1;3 дня назад;2020-11-30 09:55:43.902655;68.7;2; 5;10 эт.;34254;Большая улица
1-к квартира, 40.8 м², 8/27 эт.;3400000;Солотчинское ш., стр. 3;2 дня назад;2020-11-30 09:55:43.902655;40.8;1; 8;27 эт.;83333;Солотчинское шоссе
1-к квартира, 47.5 м², 1/3 эт.;4008000;ул. Кальная, д. 79;3 дня назад;2020-11-30 09:55:43.902655;47.5;1; 1;3 эт.;84378;Кальная улица
1-к квартира, 26.3 м², 16/16 эт.;2502420;пр-д Окский, стр. 1;4 дня назад;2020-11-30 09:55:43.902655;26.3;1; 16;16 эт.;95149;Окский проезд
2-к апартаменты, 70 м², 1/7 эт.;2300000;ул. Быстрецкая, стр. 3;2 дня назад;2020-11-30 09:55:43.902655;70.0;2; 1;7 эт.;32857;Быстрецкая улица
3-к квартира, 81 м², 3/10 эт.;3980000;Советский район, район Солотча, Новая ул.;3 дня назад;2020-11-30 09:55:43.902655;81.0;3; 3;10 эт.;49135;Поселок Солотча
1-к квартира, 32 м², 6/17 эт.;3300000;ул. Княжье Поле, стр. 8;2 дня назад;2020-11-30 09:55:43.902655;32.0;1; 6;17 эт.;103125;Улица Княжье Поле
3-к квартира, 84.7 м², 3/10 эт.;2200000;Советский район, район Солотча;2 дня назад;2020-11-30 09:55:43.902655;84.7;3; 3;10 эт.;25974;Поселок Солотча
1-к квартира, 38 м², 15/17 эт.;2185000;пр-д Окский, стр. 1;2 дня назад;2020-11-30 09:55:43.902655;38.0;1; 15;17 эт.;57500;Окский проезд
1-к квартира, 43.6 м², 9/27 эт.;1387000;с. Дядьково, ул. Большая, д. 6;2 дня назад;2020-11-30 09:55:43.902655;43.6;1; 9;27 эт.;31811;село Дядьково
1-к квартира, 31 м², 10/22 эт.;4250000;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 1А, 1Б, 1В;3 дня назад;2020-11-30 09:55:43.902655;31.0;1; 10;22 эт.;137096;Касимовское шоссе
1-к квартира, 43.9 м², 18/20 эт.;3800000;с. Дядьково, 1-й Бульварный пр., 2;3 дня назад;2020-11-30 09:55:43.902655;43.9;1; 18;20 эт.;86560;село Дядьково
1-к квартира, 42 м², 5/22 эт.;1808565;ул. Зубковой, д. 8В, корп. 1;3 дня назад;2020-11-30 09:55:43.902655;42.0;1; 5;22 эт.;43061;Улица Зубковой
2-к квартира, 67 м², 13/26 эт.;5844960;Московское ш., 2 оч.;1 неделю назад;2020-11-30 09:55:43.902655;67.0;2; 13;26 эт.;87238;Московское шоссе
2-к квартира, 66 м², 6/8 эт.;2200000;ул. Семчинская, д. 3, корп. 2;3 дня назад;2020-11-30 09:55:43.902655;66.0;2; 6;8 эт.;33333;Семчинская улица
1-к квартира, 36 м², 2/18 эт.;2004752;ш. Московское, стр. 1;2 дня назад;2020-11-30 09:55:43.902655;36.0;1; 2;18 эт.;55687;Московское шоссе
3-к квартира, 88.2 м², 5/24 эт.;1900000;Большая ул., 106к1;4 дня назад;2020-11-30 09:55:43.902655;88.2;3; 5;24 эт.;21541;Большая улица
1-к квартира, 35.5 м², 9/17 эт.;1974600;с. Дядьково, ул. Большая, д. 6;2 дня назад;2020-11-30 09:55:43.902655;35.5;1; 9;17 эт.;55622;село Дядьково
